field_1,fid,SciName,Longitude,Latitude,issues,countryCod,individual,occurrence,coordinate,institutio,gbifID,references,basisOfRec,year,month,day,eventDate,geodeticDa,datasetNam,layer,path,NVG,URB,FOR,GRS,CULTIR,CULTRF,CULT,WATER
57,4406,Geranium lucidum,-2.334721,54.177968,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3104432638,NA,HUMAN_OBSERVATION,1973,9,14,1973-09-14,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.53490001,5.868168354,86.61373138,0,6.98319912,6.98319912,0
58,4405,Geranium lucidum,-2.386902,54.187698,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3104119640,NA,HUMAN_OBSERVATION,1973,9,16,1973-09-16,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.53490001,5.868168354,86.61373138,0,6.98319912,6.98319912,0
59,4400,Geranium lucidum,-3.140389,51.823585,fpwktinv,GBR,NA,PRESENT,707.1,BIS,2939336251,NA,HUMAN_OBSERVATION,1973,9,18,1973-09-18,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,8.199999809,9.656823158,67.93899536,0,14.20418167,14.20418167,0
60,4403,Geranium lucidum,-2.345505,54.185127,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3099358910,NA,HUMAN_OBSERVATION,1973,9,20,1973-09-20,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.53490001,5.868168354,86.61373138,0,6.98319912,6.98319912,0
61,4408,Geranium lucidum,-2.383896,54.193998,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3105392436,NA,HUMAN_OBSERVATION,1973,9,20,1973-09-20,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.53490001,5.868168354,86.61373138,0,6.98319912,6.98319912,0
62,4407,Geranium lucidum,-2.297978,54.181659,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3104477753,NA,HUMAN_OBSERVATION,1973,9,29,1973-09-29,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.501999974,8.324240685,78.22254181,0,12.9512167,12.9512167,0
63,4410,Geranium lucidum,-2.468128,54.188308,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3103905508,NA,HUMAN_OBSERVATION,1973,10,1,1973-10-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.50879997,5.457189083,83.30545044,0,10.72856236,10.72856236,0
64,4409,Geranium lucidum,-2.336377,54.193242,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3099861728,NA,HUMAN_OBSERVATION,1973,10,5,1973-10-05,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.53490001,5.868168354,86.61373138,0,6.98319912,6.98319912,0
65,4411,Geranium lucidum,9.897514,63.349004,cdround,NOR,1,PRESENT,1000,NTNU-VM,2465946444,NA,HUMAN_OBSERVATION,1973,11,30,1973-11-30,WGS84,Vascular plant field notes,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.361499995,50.53869629,27.16249466,0,9.939809799,9.939809799,11.99749947
66,4382,Geranium lucidum,11.944575,58.924053,gass84,SWE,NA,PRESENT,250,ArtDatabanken,1428896603,NA,HUMAN_OBSERVATION,1974,12,31,1974-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,2.412100077,84.22409821,12.352561,0,1.011241078,1.011241078,0
67,4383,Geranium lucidum,12.356506,58.775061,gass84,SWE,NA,PRESENT,100,ArtDatabanken,1428919446,NA,HUMAN_OBSERVATION,1974,12,31,1974-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.368899971,69.95464325,16.57718849,0.657506824,9.099268913,8.441761971,4
