field_1,field_1_1,species,decimallon,decimallat,issues,countryCod,individual,occurrence,coordinate,institutio,gbifID,references,basisOfRec,year,month,day,eventDate,geodeticDa
"622","961",Butomus umbellatus,-87.886047000000005,41.714958000000003,cdround,USA,NA,PRESENT,"5",iNaturalist,"2422943199",https://www.inaturalist.org/observations/32251460,HUMAN_OBSERVATION,"2019","6","11",2019-06-11,WGS84
"653","1006",Butomus umbellatus,-73.366107000000000,43.715899999999998,cdround,USA,NA,PRESENT,"50",iNaturalist,"2283106818",https://www.inaturalist.org/observations/28009750,HUMAN_OBSERVATION,"2019","7","1",2019-07-01,WGS84
"668","1028",Butomus umbellatus,-73.391585000000006,43.570723999999998,cdround,USA,NA,PRESENT,"15",iNaturalist,"2283262609",https://www.inaturalist.org/observations/28570539,HUMAN_OBSERVATION,"2019","7","10",2019-07-10,WGS84
"672","1033",Butomus umbellatus,-83.406319999999994,42.537537000000000,cdround,USA,NA,PRESENT,"36",iNaturalist,"2283278631",https://www.inaturalist.org/observations/28633461,HUMAN_OBSERVATION,"2019","7","11",2019-07-11,WGS84
"690","1056",Butomus umbellatus,-75.534377000000006,45.508910999999998,cdround,CAN,NA,PRESENT,"16",iNaturalist,"2294442843",https://www.inaturalist.org/observations/28435259,HUMAN_OBSERVATION,"2019","7","8",2019-07-08,WGS84
"691","1057",Butomus umbellatus,-87.788919000000007,42.139763000000002,cdround,USA,NA,PRESENT,"4",iNaturalist,"2294449405",https://www.inaturalist.org/observations/28650978,HUMAN_OBSERVATION,"2019","7","11",2019-07-11,WGS84
"692","1059",Butomus umbellatus,-75.108448999999993,45.598920000000000,NA,CAN,NA,PRESENT,"183",iNaturalist,"2294465930",https://www.inaturalist.org/observations/28707191,HUMAN_OBSERVATION,"2019","7","12",2019-07-12,WGS84
"697","1069",Butomus umbellatus,-82.804936999999995,42.575364999999998,cdround,USA,NA,PRESENT,"590",iNaturalist,"2294531116",https://www.inaturalist.org/observations/28952073,HUMAN_OBSERVATION,"2019","7","16",2019-07-16,WGS84
"705","1080",Butomus umbellatus,-83.937119999999993,42.426600000000001,cdround,USA,NA,PRESENT,"229",iNaturalist,"2294623827",https://www.inaturalist.org/observations/29299062,HUMAN_OBSERVATION,"2019","7","21",2019-07-21,WGS84
"706","1084",Butomus umbellatus,-90.133683000000005,41.901412999999998,NA,USA,NA,PRESENT,"500",iNaturalist,"2294640626",https://www.inaturalist.org/observations/29364519,HUMAN_OBSERVATION,"2019","7","17",2019-07-17,WGS84
"726","1116",Butomus umbellatus,-73.274479999999997,44.248517000000000,cdround,USA,NA,PRESENT,"9",iNaturalist,"2311324300",https://www.inaturalist.org/observations/29601979,HUMAN_OBSERVATION,"2019","7","26",2019-07-26,WGS84
"727","1119",Butomus umbellatus,-82.944646000000006,42.670696999999997,cdround,USA,NA,PRESENT,"117",iNaturalist,"2311329844",https://www.inaturalist.org/observations/29610071,HUMAN_OBSERVATION,"2019","7","23",2019-07-23,WGS84
"737","1137",Butomus umbellatus,-90.182906000000003,41.937488999999999,cdround,USA,NA,PRESENT,"10",iNaturalist,"2331840075",https://www.inaturalist.org/observations/28878144,HUMAN_OBSERVATION,"2019","7","15",2019-07-15,WGS84
"739","1139",Butomus umbellatus,-94.773746000000003,49.706718000000002,cdround,CAN,NA,PRESENT,"8",iNaturalist,"2331848466",https://www.inaturalist.org/observations/29828752,HUMAN_OBSERVATION,"2019","7","24",2019-07-24,WGS84
